question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
Which of the following is inclusion of cytoplasm?,"['Endoplasmic reticulum', 'Ribosome', 'Golgi body', 'Glycogen']",D,D,1,Which of the pursual is comprehension of cytoplasm?,A,0,Wihch of the following is inclusion of ytoplasm?,D,1,Which of the others is inclusion of cytoplasm?,D,1,30
Which of the following is not a risk factor for malignancy,"['DNA aneuploidy', 'Male gender', 'Invasive candidiasis', 'Leukoplakia in non smokers']",B,C,0,Which of the followers is not a danger divisor for malignancy,B,1,Which of the ofllowing is not a riPk facotr for malignancy,C,0,Which of the following is not a risk factor cure for malignancy,C,0,30
A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,"['Diabetes insipidus', 'Acute necrosis', 'Severe dehydration', 'Excessive intake of sodium']",D,D,1,axerophthol chest flow minor stage with hypernatremia (serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the followers is the most likely effort –,A,0,A breast fed child presents with hypernatremia (erum sodium > 170 qE/L). His xrine sodiuOm is 07 mE/L. Which of the folowing is the most likely cause –,D,1,A breast fed child dealing with hypernatremia (Serum sodium > 170m w/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,D,1,30
Fill the missing data in the common risk factor approach diagram.,"['Diet and smoking', 'Smoking and disease', 'Smoking and prevention', 'Prevention and diet']",A,A,1,Fill the lose data in the common hazard broker approach diagram.,A,1,Fill the mDssing adta in the common risk Gactor approach diagram.,A,1,Fill the missing data in the upcoming common risk factor approach diagram.,A,1,30
Brachycephaly is due to fusion of –,"['Parietal suture', 'Sagittal suture', 'Lambdoid suture', 'Coronal suture']",D,D,1,Brachycephaly is due to merger of –,B,0,Bracyhcephaly is due to fusion of –,B,0,Brachycephaly is similar to fusion of –,B,0,30
"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in","['TMJ', 'Parotid', 'Submandibular gland', 'Cheek']",B,A,0,"Tendon of Gracilis, Sartorius and semitendenous brawniness tuck on tibia to signifier Pesanserinus. similar structure is project in",C,0,"Tendon of Grcailis, Sartoirus and semitendenous musOles insert on tibia to from esanserinus. Similar structure is seen in",A,0,"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to specifically form Pesanserinus. Similar structure is seen in",A,0,30
Suprasellar cystic mass in children is –,"['Medulloblastoma', 'Craniopharyngioma', 'Meningioma', 'Secondaries']",B,B,1,Suprasellar cystic mass in tyke is –,B,1,Supraesllar cystic mass in children is –,B,1,Suprasellar cystic mass in children also is –,B,1,30
The drug which gives orange colour to the urine is:,"['Rifampicin', 'Ethambutol', 'INH', 'Streptomycin']",A,A,1,The drug which give Orange semblance to the urine is:,A,1,Teh drg which gives sorange colour to the urine is:,A,1,The drug capsule which gives orange colour to the urine is:,A,1,30
Highest level of evidence is seen in:,"['Case control studies', 'Meta-analysis', 'Cohort studies', 'Systematic review']",B,B,1,mellow level of evidence is meet in:,A,0,Hghest level of evidenAce is seen in:,B,1,Highest level of evidence DNA is seen in:,A,0,30
Most common route for metastasis of oral cancer is by:,"['Direct extension', 'Lymphatics', 'Blood vessels', 'Aspiration of tumor cells']",B,B,1,almost park road for metastasis of oral cancer is by:,B,1,Most commEn route for metastasis of ora canceKr is by:,B,1,Most common route for metastasis of cervical cancer is by:,B,1,30
Excision of the submandibular gland for calculus or tumours is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,"['Ansa cervicalis', 'Mandibular branch of facial nerve', 'Posterior auricular nerve', 'Submandibular ganglion']",B,B,1,Excision of the submandibular gland for calculus or tumours is do by section below fish of the visit. especial upkeep should be carry to annul which nerve?,B,1,ExcisioOn of the usbmandibular gland for calculu or tmours is done by incision below nagle of the jwa. Specail care should be taken to avoid which nUrve?,B,1,Excision of the blood gland for calculus or calcium is done by incision below angle of the jaw. Special care should be taken to avoid which nerve?,B,1,30
A 8-years-old patient comes to you with malocclusion what will be your line of treatment:,"['Wait and watch till canine erupts', 'Extraction a and orthodontic treatment', 'Serial extraction', 'Immediate intervention with removal appliance']",A,A,1,a 8-years-old patient arrive to you with malocclusion what will be your seam of intervention:,A,1,A 8-ytears-old patient comegs to you with maloxcclusion what will be your lne of treatment:,A,1,A 8-years-old patient comes to greet you with malocclusion what will be your line of treatment:,A,1,30
Occluded submandibular salivary duct can be best observed by,"['Palpation', 'Sialography', 'Occlusal X-ray', 'Thermography']",B,B,1,Occluded submandibular salivary duct can be undecomposed observe by,B,1,Occluded submandiHbular salivary duct can be bjst observed by,B,1,Occluded vascular salivary duct can be best observed by,B,1,30
In pregnancy cardiac output increases 30 to 40% during?,"['20th week of pregnancy', '22 weeks of pregnancy', '24 weeks of pregnancy', '28 weeks of gestation']",D,D,1,inch pregnancy cardiac output increases xxx to 40% during?,D,1,In prsgnancy cardiac output increaNes 30 to 40% during?,D,1,In pregnancy cardiac output increases 30 to 40% higher during?,D,1,30
What is the angle subtended by the largest letter in the Snellen cha on a person's eye who is reading it from a distance of 6 meters?,"['1 minute', '10 minutes', '50 minutes', '60 minutes']",C,A,0,What is the lean subtended by the big missive in the Snellen cha on a person's heart who is record it from a outstrip of sextet beat?,A,0,Wha is the aWgle subtenDded by the lRargest letter in the Snellen cha on a perqon's eye who is readifg it from a dsitance of 6 metezs?,A,0,What is the angle subtended by the largest letter in the alphabet Snellen cha on a person's eye who is reading it from a distance of 6 meters?,A,0,30
"In a skeletal Class III, the value of ANB will be:","['-10', '2', '4', '6']",A,A,1,"in a skeletal stratum III, the appreciate of ANB will be:",C,0,"Ign a skeltal Clss III, the value of ANB will be:",A,1,"In a skeletal Class III, the value of granting ANB will be:",A,1,30
"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent?","['Pubococcygeus', 'Ischiocavernosus', 'Bulbospongiosus', 'Sphincter of urethra and anus']",A,A,1,"Injury to which of the following cryptic Pa of perinea! consistency lawsuit cystocele, enterocele and urethral stemma?",A,1,"IPjury to which of the wfollowing deep pa of prinea! body causes cysBocele, enterocele and ugrethral descent?",A,1,"Injury to which of the following deep pa of sin! body causes cystocele, enterocele and urethral descent?",A,1,30
"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?","['Apexification of 12 and RCT of 11', 'Revascularization in 12 and RCT of 11', 'RCT of 12 and 11', 'Extraction of 12 and RCT in 11']",B,B,1,"10-year-old boy chaffer dentist with perplex Crown fault with abscess shaping in XII. X-ray unwrap radiolucency in coitus to 11, dozen. 12 is having immature  blunderbuss duct while XI has utter rootle formation, vitality of 11, XXI is negative. What would be the management of this patient?",B,1,"10-yeaH-old Dboy visits dentist with cmoplicated crown frcture with abscses formaton in 12. Xr-ay reveaYls radiloucency in relation to 11, 12. 1C2 is having immatOure  blunderbuss canal while 11 has complete rHoot formation, vitality of d1, 21 is negative. What would be the management of this ptient?",B,1,"10-year-old boy visits the dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation graft to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?",B,1,30
Hypercementosis of whole dentition is seen in,"['Hypophosphatasia', 'Achondroplasia', 'Pagets disease', 'Fibrous dysplasia polyostotic type']",C,C,1,Hypercementosis of unhurt dentition is insure in,C,1,Hypercementosi of whoel dentition is seen in,C,1,Hypercementosis transformation of whole dentition is seen in,C,1,30
Which of the following structures is not of ectodermal origin:,"['Hunter-schreger bands', 'Enamel spindles', 'Enamel tufts', 'Enamel lamellae']",B,D,0,Which of the observe structures is not of ectodermic root:,D,0,Which of the yollowing srtuctures is not of ectodermal roigin:,D,0,Which of the following structures is not of ectodermal neural origin:,A,0,30
The term poikilokaryosis refers to,"['Alteration of nuclear cytoplasmic ratio', 'Division of nuclei without division of cytoplasm', 'Large, prominent nuclei', 'Loss of polarity and disorientation of cells']",B,B,1,The term poikilokaryosis cite to,B,1,TVhe term poikilokaryosis refers to,B,1,The biological term poikilokaryosis refers to,B,1,30
The best finish line for anterior metal ceramic crown is,"['Chamfer with bevel', 'Heavy chamfer', 'Shoulder', 'Shoulder with bevel']",D,D,1,The advantageously finish stock for anterior metal ceramic crownwork is,D,1,The best finish qine for anteroir metal cerami crown is,D,1,The best finish line for anterior metal ceramic alloy is,D,1,30
Which of the following resembles caries in radiographs?,"['Zinc oxide eugenol', 'Zinc phosphate', 'GIC', 'Polymethyl methacnilate']",D,A,0,Which of the trace resembles cavity in radiographs?,A,0,Which of the fVllowing resembxes caries in radiographs?,A,0,Which of the following resembles caries in action?,A,0,30
The material used in its pure form in dentistry is:,"['Composite', 'Silver', 'Gold', 'Amalgam']",C,C,1,The cloth victimised in its pure anatomy in dentistry is:,D,0,Te material used in its puae from in dentistry is:,A,0,The material used in its now pure form in dentistry is:,C,1,30
"The effectiveness of condensing porcelain powder to
reduce shrinkage is determined by","['Shape and size of the particle', 'Thickness of the platinum matrix', 'Speed of increase of furnace heat', 'Using powder of same particle size']",A,A,1,"The effectiveness of distil porcelain powder to
dilute shrinkage is determine by",A,1,"The effectiveness of condensing porcelani pwwder to
reduce shrinkage is detehmined by",D,0,"The effectiveness of condensing porcelain powder to
reduce temperature is determined by",A,1,30
Which of the following component acts as an accelerator in ZOE impression paste?,"['Zinc Sulphate & Zinc chloride', 'Zinc chloride & Eugenol', 'Zinc Sulphate & Eugenol', 'Glycerin']",A,A,1,Which of the comply component roleplay as an accelerator in ZOE printing paste?,B,0,Whihc of the following coqmponent acts as an accelerator in ZOE impression pasmte?,A,1,Which of it the following component acts as an accelerator in ZOE impression paste?,A,1,30
"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?","['HIV', 'HAV', 'HBV', 'HCV']",B,C,0,"SD plasm destroys lipid enveloped virus. on SD plasma transfusion, which of the pursue contagion is the likely hypothesis?",B,1,"SD plasMa destoys ilpid enveloped virus. On S plasma transfusion, which of the following infection is the likely possibililty?",C,0,"SD plasma destroys lipid oid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",C,0,30
Which TCA intermediate is used in haem synthesis:,"['Fumarate', 'Alpha keto gluterate', 'Malate', 'Succinyl CoA']",D,D,1,Which TCA liaise is victimized in haem synthesis:,D,1,Wihch TCA intermbediate is used in haem synthesis:,D,1,Which TCA intermediate is used in electronic synthesis:,D,1,30
"A patient of hypeension on Metoprolol, Verapamil was given. This is will result in?","['Atrial fibrillation', 'Bradycardia with AV Block', 'Torsades De pointes', 'Tachycardia']",B,B,1,"A patient of hypeension on metoprolol, Isoptin was founder. This is will lead in?",B,1,"A patient of hypeensin on Metoprool, VerapaAil was given. This is will reUult in?",B,1,"A patient of hypeension on Metoprolol, Verapamil am was given. This is will result in?",B,1,30
"Which of the following is a common osseous lesion in
periodontitis is","['Exostosis', 'crater', 'buttressing bone', 'hemiseptum']",B,B,1,"Which of the postdate is a park bony lesion in
periodontitis is",C,0,"Which of the following is a common oFseous leMsion in
periodontitics is",A,0,"Which of the following is why a common osseous lesion in
periodontitis is",B,1,30
Migratory motor complexes in the gut reappear after intervals of:,"['60 minutes', '90 minutes', '120 minutes', '150 minutes']",B,B,1,Migratory centrifugal complexes in the bowel re-emerge after intervals of:,B,1,Migartory motor compJlexes in the gut reappeJr after intervals of:,B,1,Migratory motor complexes in the gut reappear after intervals termination of:,B,1,30
Which of the following movement(s) is /are involved in the opening of the mouth?,"['Only hinge (rotation)', 'Only translation', 'Hinge followed by translation', 'Translation followed by hinge']",C,C,1,Which of the come bm(s) is /are involved in the afford of the sassing?,C,1,WAich of the fgllowing movement(s) is /are inKvolved in the oening of the mouth?,C,1,Which of the following movement(s) actually is /are involved in the opening of the mouth?,C,1,30
A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,"['NSP4', 'NSP6', 'VP3', 'VP7']",A,A,1,A 6-month shaver present with diarrhea and purge for trio days. Which of the postdate enterotoxin is most likely responsible for the status?,A,1,A 6-motnh child presented with diarhrea and vomiting for three dasy. Which of the following ebnterotoxin is most likely repsonsible for the conition?,A,1,Each 6-month child presented with diarrhea and vomiting for three days. Which of the following mammalian enterotoxin is most likely responsible for the condition?,A,1,30
Which of the following is considered as high risk infant?,"['Working mother', 'Antenatal preeclampsia', 'Third child', 'Twins']",A,A,1,Which of the surveil is considered as highschool adventure infant?,A,1,Which of the following is considere as igh riisk infant?,A,1,Which of the following is considered as high risk terrorism?,B,0,30
The wave ' V ' in BERA represents activity in which of the following ?,"['Lateral lemniscus', 'Superior olivary complex', 'Cochlear nerve', 'Cochlear nucleus']",A,C,0,The roll ' v ' in BERA interpret activity in which of the following ?,A,1,The waev ' V ' in BERA represenst activity in which of the folowing ?,A,1,The name ' V ' in BERA represents activity in which of the following ?,B,0,30
Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,"['Glucose', 'Lactic acid', 'Long chain fatty acid', 'Triglycerides']",C,C,1,kid face with hypotonia and seizures. It was corroborate to be zellweger syndrome. Which of the comply gather in encephalon?,C,1,Child presens with hypotonia and seiAzures. pt was confimed to be zellwgeer syndrome. Which of the ofllowing accumulates in brain?,C,1,Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following forms accumulates in brain?,C,1,30
Postherpetic neuralgia is defined as pain lasting beyond how many weeks?,"['1 week', '2 weeks', '3 weeks', '4 weeks']",D,D,1,Postherpetic neuralgia is outlined as infliction endure beyond how many weeks?,D,1,Postherpetic neuralgia is defined as pain latsing beond how many weekJs?,D,1,Postherpetic neuralgia is originally defined as pain lasting beyond how many weeks?,D,1,30
Which of the following is the most commonly used drug for management of community acquired pneumonia?,"['Vancomycin', 'Ceftriaxone', 'Azithromycin', 'Streptomycin']",C,C,1,Which of the watch is the most unremarkably apply drug for management of community take pneumonia?,C,1,Which of the folloing is the most commonly used drug for manageEent of community acquire pnumonia?,C,1,Which of the following is the most recognized commonly used drug for management of community acquired pneumonia?,C,1,30
What would be the ideal management of a woman with infeilty who is detected to have bilateral cornual block on hysterosalpingography?,"['Tuboplasty', 'In-vitro feilization', 'Hydrotubation', 'Hysteroscopy and laparoscopy']",D,D,1,What would be the nonsuch direction of a char with infeilty who is observe to have two-sided cornual parry on hysterosalpingography?,D,1,Whta woulDd be the ideaw management of a woman with infeilty who is detected to have bMilateral ocrnual bMlock on hysterosalpingography?,D,1,What would be the ideal management of a woman with infeilty who suddenly is detected to have bilateral cornual block on hysterosalpingography?,D,1,30
What is the use of the given instrument:,"['To hold bone and plate', 'To hold bone fragments with traction', 'To cut the bone', 'For creating a gap in wound']",A,A,1,What is the utilisation of the have instrument:,A,1,hat is the use of the given instruent:,A,1,What is the use of the currently given instrument:,A,1,30
"For primary herpes simplex, the diagnosis is made by which gene","['Culture with giernsa stain', 'Culture with wright strain', 'Routine cytology', 'Flourescent stain for cytology']",D,D,1,"For primary herpes simplex, the diagnosing is crap by which cistron",D,1,"FoUr primary herpes simplex, the diagnosi is madBe by which gene",D,1,"For primary herpes simplex, the diagnosis choice is made by which gene",D,1,30
A 27-year-old female presented to OPD of infeility clinic. She was prescribed bromocriptine. What could be the possible reason?,"['Hyperprolactinemia', 'Polycystic ovarian disease', 'Hypogonadotropic hypogonadism', 'Pelvic inflammatory disease']",A,A,1,ampere 27-year-old female exhibit to OPD of infeility clinic. She was dictate bromocriptine. What could be the potential ground?,A,1,A 27-ear-old feamle presented to OPD of infeility clinic. nhe was prescribed bromocriptine. Whta kcould be the possible reason?,A,1,A 27-year-old female presented to OPD of infeility clinic. She was prescribed bromocriptine. What could be the secret reason?,A,1,30
In which of the following heart diseases maternal mortality is found to be highest ?,"[""Eisenmenger's complex"", 'Coarctation of aorta', 'Mitral stenosis', 'Aortic stenosis']",A,A,1,In which of the comply pump diseases maternal mortality is obtain to be gamey ?,A,1,nI which of the following heart diseasse maternal mortaity is found to be higxhest ?,C,0,In which of the following metabolic diseases maternal mortality is found to be highest ?,A,1,30
Which of the following is the most useful parameter according to WHO in assessing adequacy of sperms for feilization?,"['Spermatocyte count', 'Spermatocyte motility', 'Semen volume', 'Spermatocyte morphology']",D,D,1,Which of the watch is the most useful argument consort to WHO in evaluate adequateness of sperms for feilization?,D,1,Whcih of the folowing is the most useful parameter accorjing to WHO in assessing dequacy of sperm for feilization?,D,1,Which of the following is the most useful parameter according to WHO in assessing optimum adequacy of sperms for feilization?,D,1,30
"A male child presented with coarse facies, protuberant abdomen , frontal head enlargement, thickening of cardiac valve, hepatosplenomegaly, hearing impairement. What is the most probable diagnosis?","[""Hurler's disease"", ""Hunter's disease"", 'Fragile X syndrome', ""Tay Sach's disease""]",B,B,1,"axerophthol male nestling presented with uncouth facies, bulgy abdomen , frontal chief enlargement, inspissate of cardiac valve, hepatosplenomegaly, try impairement. What is the most probable diagnosis?",B,1,"A male hcild presented with coarse faScies, protuberant abdomen , fronal head enlargement, thickening of cardiac vavle, hepatosplenomegaly, hearing impairement. Whyat is the most pobable diagnosOis?",B,1,"A male child presented with coarse facies, protuberant abdomen , frontal head enlargement, thickening of cardiac valve, hepatosplenomegaly, hearing impairement. What is the most probable childhood diagnosis?",B,1,30
In dental composite 75 % by weight filler is approximately what % volume of filler?,"['85', '90', '60', '50']",D,C,0,in dental composite 75 % by weightiness filler is approximately what % intensity of filler?,A,0,In dental cmoposite 57 % by weight filler is approximately what % volume of fYller?,A,0,In dental composite 75 % by weight filler is approximately what % volume of specimen?,A,0,30
Etching of dentin does not include:,"['Removal of smear layer', 'Exposure of collagen fibres', 'Opening of dentinal tubules', 'Increases surface energy']",D,D,1,engraving of dentin does not include:,D,1,Etching of dentin does not inclSude:,D,1,Etching of dentin does not simply include:,D,1,30
In case of Fracture of mandible; alveolar border experiences which force,"['Tension', 'Compression', 'Torsion', 'Rotation']",A,A,1,IN face of Fracture of mandible; alveolar surround experiences which force,A,1,wn case of Fractrue of mandible; alveolar border xperiences which force,A,1,In case of Fracture of mandible; alveolar border experiences about which force,A,1,30
Father of statistics,"['John Snow', 'John Graunt', 'MacMahon', 'John M. Last']",B,B,1,mother of statistics,B,1,Father of statictics,B,1,Father of Law,A,0,30
"What is the advantage of chromic gut over plain
gut suture in deep wounds?","['Greater strength', 'Greater ease of use', 'Delayed resorption', 'Less tissue irritation']",C,C,1,"What is the advantage of chromic gut over plainly
gut sutura in cryptic injury?",C,1,"What is the adantage of chromic gtu over palin
gut suture in depe wounds?",C,1,"What is the advantage of chromic rene over plain
gut suture in deep wounds?",C,1,30
Haglund's deformity is seen in which joint?,"['Elbow', 'Wrist', 'Knee', 'Ankle']",D,D,1,Haglund's deformity is insure in which juncture?,D,1,Haglund's deformqty is seen in which joCnt?,D,1,Haglund's deformity is endemic in which joint?,D,1,30
"A non-painful, slowly enlarging benign neoplasm appears as a submucosaL lu nip and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:","['Fibroma', 'Rhabdomyoma', 'Granular cell tumour', 'Papilloma']",C,C,1,"angstrom non-painful, slowly enlarging benign neoplasm look as a submucosaL Lu tang and exhibit pseudoepitheliomatous hyperplasia in the overlying epithelium, is most belike:",C,1,"A non-painful, slowly enlmarging benign neoplaasm appears as a submucosL lu nirp and exhibits pseudoepitheliomatous hyperplasia in the overlyin emithelium, is most probably:",C,1,"A non-painful, slowly enlarging benign neoplasm appears as a submucosaL lu nip osa and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:",C,1,30
"White flecks yellow or brown spots on surface of teeth covering, giving papery white appearance","['Mottled enamel', 'Incipient caries', 'Dental stains', 'Smooth caries']",A,A,1,"tweed flecks chicken or brown pip on surface of teeth embrace, giving papery white appearance",A,1,"WhiWe flecks yellHow or brown psots on surface of teeth covering, giving zapery white appearance",A,1,"White flecks emerge or brown spots on surface of teeth covering, giving papery white appearance",A,1,30
Which of the following intravenous anesthetic agents is contraindicated in epileptic patients posted for general anaesthesia,"['Ketamine', 'Thiopentone', 'Propofol', 'Midazolam']",A,A,1,Which of the be intravenous anesthetic factor is contraindicated in epileptic patients station for ecumenical anaesthesia,A,1,WhCich of the following intravenous anesthetic agrents is contraindicated in epilleptic patientK posted for general anaesthesia,A,1,Which of the following intravenous anesthetic agents is contraindicated in epileptic patients posted for general information,A,1,30
"1,1,1,1 Tetra-floroethylene is applied during cold test testing with?","['# 4 Cotton pellet', '# 2 Cotton pellet', '# 6 Cotton pellet', '# 8 Cotton pellet']",B,B,1,"1,unity,1,1 Tetra-floroethylene is applied during cold examine try with?",B,1,"1,1,1,1 Tetra-floroethylene is appiled during clod test Ntesting with?",B,1,"1,1,1,1 saline is applied during cold test testing with?",B,1,30
"In which one of the following mixed dentition analysis of deciduous dentition, there is no use of radiographs?","[""Carey's analysis"", ""Moyer's analysis"", ""Nance Carey's analysis"", ""Pont's index""]",B,A,0,"In which one of the pursue commingle dentition analysis of deciduous teeth, there is no exercise of skiagraph?",A,0,"In which one of the fololwing mixd deAntition analysiy of deciduous entition, there is no use of radiographs?",A,0,"In which one of the following mixed dentition contradicts analysis of deciduous dentition, there is no use of radiographs?",D,0,30
Organic component of bone comprises of:,"['35% collagen', '35% noncollagenous protein', '65% noncollagenous protein', '90% collagen protein']",D,A,0,Organic component of bone represent of:,A,0,Organic componenj of bone comprises of:,C,0,Organic component of bone marrow of:,C,0,30
Insufficient closure of the flasks during packing of denture base resin can result in:,"['Poor colour stability', 'Less polymerization shrinkage', 'Increase in vertical dimension', 'Decrease in vertical dimension']",C,C,1,deficient closure of the flasks during pack of denture meanspirited resin can consequence in:,C,1,Insufficient clsoure of the blasks during packing of denture abse resRin can result in:,C,1,Insufficient closure of the pouch during packing of denture base resin can result in:,C,1,30
"A girl comes with symptoms of involuntary movements. Sydenham's chorea and acute rheumatic fever is suspected. Other major criteria of rheumatic fever (ahritis, skin rashes, subcutaneous nodules and carditis) were absent. No evidence of sore throat. Best investigation to prove rheumatic etiology is:","['Antistreptolysin S', 'Antistreptolysin O', 'Throat culture', 'PCR for M protein']",B,D,0,"ampere girl seed with symptoms of involuntary effort. Sydenham's chorea and acute arthritic febricity is suspected. Other major measure of rheumatic fever (ahritis, peel rashes, subcutaneous nodules and carditis) were absentminded. No testify of afflictive throat. sound investigation to examine rheumatic etiology is:",D,0,"A grl gomes with sypmtoms of involuntaary movemXents. Sydenham's chorea and Mcute rheumtic fever is suspected. Oter major riteria of rheumatic fever (ahirtis, skin rashes, subcutaneous noduls and carditis) were absnt. No evidence of sore throat. Best investigation to prove rheumatic etiology is:",C,0,"A girl comes with symptoms of involuntary movements. Sydenham's chorea and acute rheumatic fever is suspected. Other relevant criteria of rheumatic fever (pain, skin rashes, subcutaneous nodules and carditis) were absent. Only appearance of sore throat. Best investigation to prove rheumatic etiology is:",C,0,30
