question,options,correct_letter,original_letter,original_correct,word_perturbed_question,word_letter,word_perturbed_correct,char_perturbed_question,char_letter,char_perturbed_correct,clare_perturbed_question,clare_letter,clare_perturbed_correct,perturbation_pct
"Injury to which of the following deep pa of perinea! body causes cystocele, enterocele and urethral descent?","['Pubococcygeus', 'Ischiocavernosus', 'Bulbospongiosus', 'Sphincter of urethra and anus']",A,A,1,"harm to which of the accompany deep daddy of perinea! body case cystocele, enterocele and urethral extraction?",A,1,"Ijnury to which of the following deep Upa of perinea! body causes ystocele, enFterocele and urehtral descent?",A,1,"Injury to which of the following deep pa of perinea! body causes cystocele, dementia and urethral descent?",A,1,30
"10-year-old boy visits dentist with complicated crown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?","['Apexification of 12 and RCT of 11', 'Revascularization in 12 and RCT of 11', 'RCT of 12 and 11', 'Extraction of 12 and RCT in 11']",B,B,1,"10-year-old boy chaffer dentist with elaborate Crown fracture with abscess formation in twelve. X-ray discover radiolucency in telling to 11, XII. 12 is having unfledged  blunderbuss channel while 11 has double-dyed ascendant organisation, vitality of 11, twenty-one is blackball. What would be the management of this patient?",B,1,"10-eyar-old boy visits dentist with complicwated ycrown fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 1. 12 is having immatrue  blunderbuss cinal while G1 has complete voot fAormation, vtality of 11, Z21 is negative. Wht woudl be the managemenJ of this patient?",B,1,"10-year-old boy visits surgeons with complicated bone fracture with abscess formation in 12. X-ray reveals radiolucency in relation to 11, 12. 12 infant is having immature  blunderbuss canal while 11 has complete root formation, vitality of 11, 21 is negative. What would be the management of this patient?",B,1,30
Hypercementosis of whole dentition is seen in,"['Hypophosphatasia', 'Achondroplasia', 'Pagets disease', 'Fibrous dysplasia polyostotic type']",C,C,1,Hypercementosis of totally dentition is find in,C,1,Hypercementosis of whJle dmntition is seen in,C,1,Hypercementosis of whole dentition is still seen in,C,1,30
Which of the following structures is not of ectodermal origin:,"['Hunter-schreger bands', 'Enamel spindles', 'Enamel tufts', 'Enamel lamellae']",B,D,0,Which of the undermentioned structures is not of ectodermic lineage:,D,0,Which of the folmlowing structues is not of ectdermal origin:,D,0,one of the following structures is not of ectodermal origin:,D,0,30
The term poikilokaryosis refers to,"['Alteration of nuclear cytoplasmic ratio', 'Division of nuclei without division of cytoplasm', 'Large, prominent nuclei', 'Loss of polarity and disorientation of cells']",B,B,1,The term poikilokaryosis refer to,B,1,The term poikilokaryouis refers to,B,1,The above refers to,B,1,30
The best finish line for anterior metal ceramic crown is,"['Chamfer with bevel', 'Heavy chamfer', 'Shoulder', 'Shoulder with bevel']",D,D,1,The expert finish bloodline for anterior metal ceramic jacket is,A,0,hTe besR finish line for anterior metl ceramic crown is,D,1,The best finish line for anterior metal ceramic sculptures is,D,1,30
Which of the following resembles caries in radiographs?,"['Zinc oxide eugenol', 'Zinc phosphate', 'GIC', 'Polymethyl methacnilate']",D,A,0,Which of the survey resembles caries in shadowgraph?,A,0,Wich of the folloEwing resembles caries in radiographs?,A,0,Each of the following resembles caries in radiographs?,A,0,30
The material used in its pure form in dentistry is:,"['Composite', 'Silver', 'Gold', 'Amalgam']",C,C,1,The substantial used in its double-dyed var. in dentistry is:,B,0,hTe material sed in its purLe form in dentistry is:,D,0,The material used in its pure form in jewelry is:,C,1,30
"The effectiveness of condensing porcelain powder to
reduce shrinkage is determined by","['Shape and size of the particle', 'Thickness of the platinum matrix', 'Speed of increase of furnace heat', 'Using powder of same particle size']",A,A,1,"The effectiveness of condense porcelain powder to
tighten shrinkage is compulsive by",A,1,"The effectiveness of condesning pErcelain powder to
reduce shrnikage is determined by",A,1,"The effectiveness of condensing soft porcelain powder to
reduce shrinkage is determined by",A,1,30
Which of the following component acts as an accelerator in ZOE impression paste?,"['Zinc Sulphate & Zinc chloride', 'Zinc chloride & Eugenol', 'Zinc Sulphate & Eugenol', 'Glycerin']",A,A,1,Which of the next component turn as an accelerator in ZOE depression paste?,A,1,Ihich of the ofllowing component acts as an accelerator in ZOE impession paste?,A,1,Which of the following component acts as an electron accelerator in ZOE impression paste?,C,0,30
"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?","['HIV', 'HAV', 'HBV', 'HCV']",B,C,0,"SD plasma demolish lipid wrap virus. On SD plasm transfusion, which of the postdate infection is the likely theory?",D,0,"SD plasma desqroys lJipid enveloped virus. On cSD plasmy transfusion, which of the following infectio is the likely possibility?",C,0,"SD plasma destroys lipid widely enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",B,1,30
Which TCA intermediate is used in haem synthesis:,"['Fumarate', 'Alpha keto gluterate', 'Malate', 'Succinyl CoA']",D,D,1,Which TCA intermediate is employ in hematin synthesis:,D,1,Which TGA intermediate is used in haem synthesiq:,B,0,Which TCA intermediate is generally used in haem synthesis:,D,1,30
"A patient of hypeension on Metoprolol, Verapamil was given. This is will result in?","['Atrial fibrillation', 'Bradycardia with AV Block', 'Torsades De pointes', 'Tachycardia']",B,B,1,"angstrom patient of hypeension on Metoprolol, Calan was leave. This is will resultant in?",B,1,"A patient of hypeension on Metporolol, Verapamil was givaen. Tais is will Kesult in?",B,1,"A patient of hypeension on Metoprolol, Verapamil was given. This is will result that in?",B,1,30
"Which of the following is a common osseous lesion in
periodontitis is","['Exostosis', 'crater', 'buttressing bone', 'hemiseptum']",B,B,1,"Which of the succeed is a plebeian bony lesion in
periodontitis is",A,0,"Whtch of the following is a common osteous lZsion in
periodontitis is",B,1,"Which manifestation of the following is a common osseous lesion in
periodontitis is",A,0,30
Migratory motor complexes in the gut reappear after intervals of:,"['60 minutes', '90 minutes', '120 minutes', '150 minutes']",B,B,1,Migratory motive composite in the bowel reappear after intervals of:,B,1,MigratAry motor compelxes in the gLut reappear after intervals of:,B,1,Migratory signals in the gut reappear after intervals of:,B,1,30
Which of the following movement(s) is /are involved in the opening of the mouth?,"['Only hinge (rotation)', 'Only translation', 'Hinge followed by translation', 'Translation followed by hinge']",C,C,1,Which of the pursual drive(s) is /are take in the opening of the verbalize?,C,1,WDich of the following movmeent(s) is /are invovled in the opneing of the mouth?,C,1,Which form of the following movement(s) is /are involved in the opening of the mouth?,C,1,30
A 6-month child presented with diarrhea and vomiting for three days. Which of the following enterotoxin is most likely responsible for the condition?,"['NSP4', 'NSP6', 'VP3', 'VP7']",A,A,1,A 6-month shaver demo with diarrhea and sick for ternary days. Which of the surveil enterotoxin is most likely responsible for the status?,A,1,A 6-omnth chil resented with diaVrhea and vomiting for three days. Wihch of the following kenterotoxin is most likely responsible for the condition?,A,1,A 6-month child presented with diarrhea and vomiting for three short days. Which of the following enterotoxin is most likely responsible for the condition?,A,1,30
Which of the following is considered as high risk infant?,"['Working mother', 'Antenatal preeclampsia', 'Third child', 'Twins']",A,A,1,Which of the followers is take as eminent risk infant?,A,1,Whiich of the following is considered as higi rik infant?,A,1,Which of them the following is considered as high risk infant?,A,1,30
The wave ' V ' in BERA represents activity in which of the following ?,"['Lateral lemniscus', 'Superior olivary complex', 'Cochlear nerve', 'Cochlear nucleus']",A,C,0,The wave ' cinque ' in BERA act activity in which of the next ?,A,1,hTe wave ' V ' in BERC represents actvity in which of the following ?,B,0,seismic wave ' V ' in BERA represents activity in which of the following ?,A,1,30
Child presents with hypotonia and seizures. It was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,"['Glucose', 'Lactic acid', 'Long chain fatty acid', 'Triglycerides']",C,C,1,Child nowadays with hypotonus and seizures. It was corroborate to be zellweger syndrome. Which of the followers cumulate in brainpower?,C,1,Child presents with hypotPnia and seizures. tI was confirmed to be zellwegeG syndrome. WhHich of the folloiwng accumulatQes in brain?,C,1,Child presents with hypotonia and seizures. It was was confirmed to be zellweger syndrome. Which of the following accumulates in brain?,C,1,30
Postherpetic neuralgia is defined as pain lasting beyond how many weeks?,"['1 week', '2 weeks', '3 weeks', '4 weeks']",D,D,1,Postherpetic neuralgia is delineate as trouble persistent beyond how many weeks?,D,1,Postherpetc neuralgia is defined as pain lasting ebyond how manty weeks?,B,0,Postherpetic neuralgia is defined as pain lasting beyond defining how many weeks?,D,1,30
Which of the following is the most commonly used drug for management of community acquired pneumonia?,"['Vancomycin', 'Ceftriaxone', 'Azithromycin', 'Streptomycin']",C,C,1,Which of the pursual is the most usually employ drug for management of community produce pneumonia?,C,1,Whicg of the following is the most commonly ued drug for management of community acqunired pneumoia?,C,1,Which of the following is the most commonly used practice for management of community acquired pneumonia?,C,1,30
What would be the ideal management of a woman with infeilty who is detected to have bilateral cornual block on hysterosalpingography?,"['Tuboplasty', 'In-vitro feilization', 'Hydrotubation', 'Hysteroscopy and laparoscopy']",D,D,1,What would be the nonsuch direction of a char with infeilty who is detect to have isobilateral cornual bar on hysterosalpingography?,D,1,Whst woud be the ideal management of a womna with infeilt who is detected to have bilateral cornual bloGck on hysterosalingography?,D,1,What would be the ideal management program of a woman with infeilty who is detected to have bilateral cornual block on hysterosalpingography?,D,1,30
What is the use of the given instrument:,"['To hold bone and plate', 'To hold bone fragments with traction', 'To cut the bone', 'For creating a gap in wound']",A,A,1,What is the habit of the hand instrument:,A,1,hat is the use of the gvien instrument:,A,1,What results is the use of the given instrument:,A,1,30
The current bar clasp design used is:,"['Mesio-occlusal rest', 'Disto-occlusal rest', 'Mesial or distal depending on the situation', 'Choice of the dentist']",A,A,1,The current streak clasp pattern habituate is:,A,1,he current bra clasp desgin used is:,D,0,The current bar fly clasp design used is:,A,1,50
A term gestation newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,"['History of receiving antenatal corticosteroids', 'Air bronchogram on chest x–ray', 'Onset of distress after 6 hours of birth', 'Term birth']",B,B,1,amp condition gestation newborn evolve respiratory distraint. Which of the follow would prefer respiratory hurt syndrome (HIVID) ?,B,1,A erm gestation nweborn developed respirator distress. Whickh of the follownig woudl favour Respiratory dihtress syncdrome (HIVID) ?,B,1,longest term gestation newborn developed respiratory distress. Which of the following would favour Respiratory distress syndrome (HIVID) ?,B,1,50
Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) Phenylketonuriad)  Rubella,"['ab', 'cd', 'bd', 'ac']",B,B,1,Which of the next unhinge of fuss hint to microcephalus in coddle –a)  SLEb)  hepatitis a carbon) Phenylketonuriad)  Rubella,B,1,Whcih of the Efollowing disodrer of moter eads to microcephaly in baby –a)  SLQEb)  HepatitYis A c) Phenylketonuriard)  Rueblla,B,1,Which of the following disorder of mother leads to microcephaly in baby –a)  SLEb)  Hepatitis A c) b)  Rubella,B,1,50
A young patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,"['Grey', 'Green', 'Blue', 'Pink']",B,B,1,axerophthol untested patient has been acknowledge with angstrom and had monumental bleed. he necessarily to be transfused with prominent number of fluid. Which quaternion cannula is opt?,B,1,A tyoung aptient has been admitjted with A and had massive hmorrhage. eH nees to be tranTsfused with alrge amoubnts of fluis. hich IV cannul is perferred?,A,0,A young patient has been admitted with A and had massive bruising. He needs to be transfused with large excessive amounts of fluids. Which IV cannula is preferred?,B,1,50
Centrineuraxial (spinaland epidural) anaesthesia is not contraindicated in,"['Platelets <80,000', 'Patient on aspirin', 'Patient on oral anticoagulants', 'Raised intracranial pressure']",B,B,1,Centrineuraxial (spinaland extradural) anesthesia is not contraindicate in,B,1,Centrineuraxial (spinaalnd peidural) anaestJesia is not contrainidicated in,B,1,Centrineuraxial (spinaland epidural) anaesthesia is not medically contraindicated in,B,1,50
In a patient of heart disease antibiotic prophylaxis for dental extraction is:,"['Amoxicillin.', 'Imipenem.', 'Gentamicin.', 'Erythromycin.']",A,A,1,Indiana a patient of affection disease antibiotic prophylaxis for alveolar origin is:,A,1,In a pateint of heTrt disaese anibiotic prophylaxis for dentBal ecxtraction is:,A,1,In patient a patient of heart disease antibiotic prophylaxis for dental extraction is:,A,1,50
Urine analysis of a patient with hematuria and hypercalciuria is most likely to reveal;,"['Isomorphic RBCs', 'RBC casts', 'Nephrotic range proteinuria', 'Eosinophiluria']",A,B,0,urine psychoanalysis of a patient with haematuria and hypercalcinuria is most probable to unveil;,B,0,UrinE analyss of a patieunt with ehmaturia and hpyercalciuria is most likeyl to reveaE;,B,0,Urine analysis of a patient with hematuria and hypercalciuria is most likely expected to reveal;,B,0,50
Which Hodgkin’s disease is associated with best prognosis?,"['Lymphocytic predominance', 'Lymphocyte depletion', 'Mixed cellularity', 'Nodular sclerosis']",A,A,1,Which Hodgkin’s disease is associate with salutary forecast?,A,1,Whtch Hodgkn’s idsease is ssociated with best prognosis?,A,1,Which Hodgkin’heel s disease is associated with best prognosis?,A,1,50
"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, what would you do now?","['No vaccine', '2 doses of vaccine on day 0 and 3', 'Full 5 doses of vaccines', 'Rabies Ig and full vaccination']",B,B,1,"nestling has have replete hydrophobia inoculation in Dec 2018 and now pose with transude hoist on bully toenail and the ducky had inoculation too, what would you do now?",D,0,"Chid has receievd iull Nabies vaccination in DAcember 2J018 and now presenled with oozing ound on gret tose and the et had accination azso, what wolud you do now?",D,0,"Child has received full rabies vaccination in December 2018 and now presented with oozing wound on great toe and the pet had vaccination also, well what would you do now?",B,1,50
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,"['AFP', 'ss-hCG', 'Estradiol', 'Inhibin']",C,D,0,Which of the succeed mark is not utilize in quartette essay for prenatal sensing of downhearted syndrome?,D,0,zWhich of the following yarkers is not ued in quadrpule tst for antenatal detetion of Dow syndrom?,D,0,Which portion of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,D,0,50
Which of the following is inclusion of cytoplasm?,"['Endoplasmic reticulum', 'Ribosome', 'Golgi body', 'Glycogen']",D,D,1,Which of the postdate is comprehension of cytol?,B,0,WhiMch of the ofllowing is inclusino of cytoplabm?,A,0,Which of the following paragraphs is inclusion of cytoplasm?,D,1,50
Which of the following is not a risk factor for malignancy,"['DNA aneuploidy', 'Male gender', 'Invasive candidiasis', 'Leukoplakia in non smokers']",B,C,0,Which of the survey is not a gamble divisor for malignity,B,1,hWich of the flolowing is not a irsk factr for malignFncy,B,1,Which of the following scenarios is not a risk factor for malignancy,B,1,50
A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine sodium is 70 mEq/L. Which of the following is the most likely cause –,"['Diabetes insipidus', 'Acute necrosis', 'Severe dehydration', 'Excessive intake of sodium']",D,D,1,A chest feed shaver award with hypernatremia (serum Na > 170m eq/liter). His weewee sodium is 70 milliequivalent/fifty. Which of the pursuit is the most belike grounds –,D,1,A rbeast fen nchild presenTs with hypernatremia (Serum sdium > T170m EMq/L). Hsi urIine sodaum is 07 mqE/L. Which of the following is the most Cikely causE –,D,1,A breast fed child presents with hypernatremia (Serum sodium > 170m Eq/L). His urine consumption is 70 mEq/L. Most of the following is the most likely cause –,D,1,50
Fill the missing data in the common risk factor approach diagram.,"['Diet and smoking', 'Smoking and disease', 'Smoking and prevention', 'Prevention and diet']",A,A,1,satiate the omit data in the vulgar chance component approach diagram.,B,0,Fill the misisng cata in the comon risk factor approHch diagrjm.,A,1,Fill the missing data in the common risk cause factor approach diagram.,A,1,50
Brachycephaly is due to fusion of –,"['Parietal suture', 'Sagittal suture', 'Lambdoid suture', 'Coronal suture']",D,D,1,brachycephalism is ascribable to coalition of –,B,0,LBrachycephaly is iue to fusino of –,D,1,Brachycephaly is due to depletion of –,A,0,50
"Tendon of Gracilis, Sartorius and semitendenous muscles insert on tibia to form Pesanserinus. Similar structure is seen in","['TMJ', 'Parotid', 'Submandibular gland', 'Cheek']",B,A,0,"sinew of Gracilis, sartorius and semitendenous muscle inclose on shinbone to signifier Pesanserinus. alike construction is date in",B,1,"TendoIn of Gracilis, Sartoxius and smitendenous muscles insrt on ttibia to from Pesanserinsu. Similra structure is sceen in",B,1,"Tendon of Gracilis, Sartorius and semitendenous muscles insert on surface to form Pesanserinus. Similar structure is seen in",A,0,50
Suprasellar cystic mass in children is –,"['Medulloblastoma', 'Craniopharyngioma', 'Meningioma', 'Secondaries']",B,B,1,Suprasellar cystic multitude in nipper is –,B,1,Supasellar cystic mas in childrten is –,B,1,Suprasellar cystic mass in children commonly is –,B,1,50
The drug which gives orange colour to the urine is:,"['Rifampicin', 'Ethambutol', 'INH', 'Streptomycin']",A,A,1,The dose which leave orangish coloring to the water is:,A,1,The druX which igves oraneg colHur to the uriHne is:,A,1,The drug version which gives orange colour to the urine is:,A,1,50
Highest level of evidence is seen in:,"['Case control studies', 'Meta-analysis', 'Cohort studies', 'Systematic review']",B,B,1,Highest even of manifest is project in:,A,0,HighIst level of evidnece is sexn in:,B,1,Highest level of evidence is seen taking in:,B,1,50
Most common route for metastasis of oral cancer is by:,"['Direct extension', 'Lymphatics', 'Blood vessels', 'Aspiration of tumor cells']",B,B,1,about commons road for metastasis of unwritten Crab is by:,B,1,Mos cmomon roOute for metstasis of oral cancGer is by:,A,0,Most common route for metastasis of brain oral cancer is by:,A,0,50
